Java HotSpot(TM) Client VM (25.144-b01) for windows-x86 JRE (1.8.0_144-b01), built on Jul 21 2017 21:58:05 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 2056828k(725388k free), swap 4113656k(1393260k free)
CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=./hw05_GC/logs/dump -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=268435456 -XX:MaxNewSize=67108864 -XX:MaxTenuringThreshold=6 -XX:NewSize=67108864 -XX:OldPLABSize=16 -XX:OldSize=134217728 -XX:+PrintGC -XX:+PrintGCTimeStamps -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
10.021: [GC (Allocation Failure)  52480K->14656K(255616K), 0.0266106 secs]
17.221: [GC (Allocation Failure)  67136K->33685K(255616K), 0.0422554 secs]
23.425: [GC (Allocation Failure)  86165K->53641K(255616K), 0.0381110 secs]
30.654: [GC (Allocation Failure)  106121K->78327K(255616K), 0.0472024 secs]
36.934: [GC (Allocation Failure)  130807K->104487K(255616K), 0.0454633 secs]
44.333: [GC (Allocation Failure)  156967K->130720K(255616K), 0.0457452 secs]
44.382: [GC (CMS Initial Mark)  130821K(255616K), 0.0010130 secs]
44.401: [GC (CMS Final Remark)  130821K(255616K), 0.0040039 secs]
51.802: [GC (Allocation Failure)  132094K->105878K(255616K), 0.0435614 secs]
58.435: [GC (Allocation Failure)  158358K->132293K(255616K), 0.0404790 secs]
66.060: [GC (Allocation Failure)  184773K->157897K(255616K), 0.0503090 secs]
66.116: [GC (CMS Initial Mark)  157926K(255616K), 0.0013070 secs]
66.158: [GC (CMS Final Remark)  157926K(255616K), 0.0046063 secs]
72.646: [GC (Allocation Failure)  170539K->143812K(255616K), 0.0420487 secs]
80.463: [GC (Allocation Failure)  196292K->170324K(255616K), 0.0477492 secs]
80.513: [GC (CMS Initial Mark)  170350K(255616K), 0.0028962 secs]
80.543: [GC (CMS Final Remark)  170350K(255616K), 0.0052638 secs]
87.001: [GC (Allocation Failure)  196427K->170231K(255616K), 0.0393228 secs]
87.042: [GC (CMS Initial Mark)  170251K(255616K), 0.0009500 secs]
87.070: [GC (CMS Final Remark)  170251K(255616K), 0.0039536 secs]
89.104: [GC (CMS Initial Mark)  166763K(255616K), 0.0014329 secs]
94.170: [GC (CMS Final Remark)  206621K(255616K), 0.0074522 secs]
94.716: [GC (Allocation Failure)  206852K->180665K(255616K), 0.0518152 secs]
94.774: [GC (CMS Initial Mark)  181026K(255616K), 0.0012281 secs]
94.807: [GC (CMS Final Remark)  181026K(255616K), 0.0041663 secs]
96.828: [GC (CMS Initial Mark)  182913K(255616K), 0.0016821 secs]
101.919: [GC (CMS Final Remark)  222780K(255616K), 0.0073355 secs]
102.638: [GC (Allocation Failure)  219511K->193152K(255616K), 0.0435040 secs]
102.682: [GC (CMS Initial Mark)  193169K(255616K), 0.0009920 secs]
102.715: [GC (CMS Final Remark)  193169K(255616K), 0.0040343 secs]
104.737: [GC (CMS Initial Mark)  197627K(255616K), 0.0018632 secs]
104.775: [GC (CMS Final Remark)  197627K(255616K), 0.0050804 secs]
106.798: [GC (CMS Initial Mark)  209417K(255616K), 0.0029256 secs]
106.834: [GC (CMS Final Remark)  209417K(255616K), 0.0060276 secs]
108.858: [GC (CMS Initial Mark)  221207K(255616K), 0.0044771 secs]
109.312: [GC (Allocation Failure)  227453K->201249K(255616K), 0.0469159 secs]
109.360: [GC (CMS Final Remark)  201270K(255616K), 0.0114566 secs]
111.392: [GC (CMS Initial Mark)  206987K(255616K), 0.0016121 secs]
111.429: [GC (CMS Final Remark)  206987K(255616K), 0.0048084 secs]
113.452: [GC (CMS Initial Mark)  219827K(255616K), 0.0025803 secs]
113.490: [GC (CMS Final Remark)  219827K(255616K), 0.0057771 secs]
115.514: [GC (CMS Initial Mark)  231621K(255616K), 0.0040525 secs]
115.553: [GC (CMS Final Remark)  231621K(255616K), 0.0070070 secs]
117.158: [Full GC (Allocation Failure)  237869K->209818K(255616K), 0.2222297 secs]
117.389: [GC (CMS Initial Mark)  209853K(255616K), 0.0017213 secs]
117.449: [GC (CMS Final Remark)  209853K(255616K), 0.0046091 secs]
119.469: [GC (CMS Initial Mark)  223087K(255616K), 0.0052106 secs]
119.512: [GC (CMS Final Remark)  223087K(255616K), 0.0075740 secs]
121.536: [GC (CMS Initial Mark)  235512K(255616K), 0.0526785 secs]
121.626: [GC (CMS Final Remark)  235512K(255616K), 0.0085580 secs]
123.652: [GC (CMS Initial Mark)  246379K(255616K), 0.0070094 secs]
123.695: [GC (CMS Final Remark)  246379K(255616K), 0.0092906 secs]
124.054: [Full GC (Allocation Failure)  243302K->220733K(255616K), 0.2237742 secs]
124.283: [GC (CMS Initial Mark)  220767K(255616K), 0.0050557 secs]
124.347: [GC (CMS Final Remark)  220767K(255616K), 0.0071806 secs]
126.376: [GC (CMS Initial Mark)  236526K(255616K), 0.0061909 secs]
126.420: [GC (CMS Final Remark)  236526K(255616K), 0.0081399 secs]
128.444: [GC (CMS Initial Mark)  248114K(255616K), 0.0074601 secs]
128.505: [GC (CMS Final Remark)  248114K(255616K), 0.0139413 secs]
128.787: [GC (Allocation Failure)  247680K->254862K(255616K), 0.0583314 secs]
128.846: [Full GC (Allocation Failure)  254862K->229995K(255616K), 0.2313434 secs]
129.084: [GC (CMS Initial Mark)  230030K(255616K), 0.0063724 secs]
129.152: [GC (CMS Final Remark)  230030K(255616K), 0.0085263 secs]
