Java HotSpot(TM) Client VM (25.144-b01) for windows-x86 JRE (1.8.0_144-b01), built on Jul 21 2017 21:58:05 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 2056828k(551000k free), swap 4113656k(1059220k free)
CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=./hw05_GC/logs/dump -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCTimeStamps -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
9.447: [GC (Allocation Failure)  69952K->17445K(253440K), 0.0242556 secs]
18.017: [GC (Allocation Failure)  87397K->42712K(253440K), 0.0498042 secs]
29.020: [GC (Allocation Failure)  112664K->66908K(253440K), 0.0462029 secs]
37.493: [GC (Allocation Failure)  136860K->100463K(253440K), 0.0526589 secs]
47.175: [GC (Allocation Failure)  170415K->134646K(253440K), 0.0533196 secs]
56.873: [GC (Allocation Failure)  204598K->168695K(253440K), 0.0542103 secs]
65.794: [Full GC (Allocation Failure)  238647K->128692K(253440K), 0.1496747 secs]
75.788: [GC (Allocation Failure)  198644K->163571K(253440K), 0.0357015 secs]
76.147: [Full GC (System.gc())  169336K->146000K(253440K), 0.1510787 secs]
86.173: [Full GC (Allocation Failure)  215952K->165341K(253440K), 0.1850468 secs]
97.448: [Full GC (Allocation Failure)  235293K->173278K(253440K), 0.2019776 secs]
108.320: [Full GC (Allocation Failure)  243230K->199212K(253440K), 0.2220561 secs]
116.937: [Full GC (Allocation Failure)  253437K->203782K(253440K), 0.2414548 secs]
124.579: [Full GC (Allocation Failure)  253438K->224506K(253440K), 0.2304914 secs]
